Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD1,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Electric Vehicle,Instagram
LD2,Kolkata,Indian Statistical Institute,1st,Finance,Google Form
LD3,Shimla,"DAV Centenary Public School, Shimla",4th,Data Analytics,Mass-Mailing
LD4,Pune,University of Pune,1st,Accounting,Google Form
LD5,Delhi,All India Institute of Medical Sciences,4th,Prompt Engineering,LinkedIn
LD6,Srinagar,University of Kashmir,2nd,Data Analytics,College
LD7,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Electric Vehicle,WhatsApp
LD8,Chennai,Indian Institute of Technology Madras,2nd,Accounting,LinkedIn
LD9,Varanasi,Sampurnanand Sanskrit University,3rd,Robotics,College
LD10,Hyderabad,University of Hyderabad,1st,Electric Vehicle,Google Form
LD11,Chennai,Madras Christian College,4th,Business Analytics,College
LD12,Hyderabad,University of Hyderabad,3rd,Data Analytics,Google Form
LD13,Ahmedabad,Indian Institute of Technology Gandhinagar,4th,AI,Instagram
LD14,Varanasi,Ashoka Institute of Technology and Management,4th,Robotics,Collaboration
LD15,Agra,Dr. Bhimrao Ambedkar University,4th,Robotics,College
LD16,Shimla,Indian Institute of Advanced Study,2nd,Accounting,WhatsApp
LD17,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,Finance,LinkedIn
LD18,Ahmedabad,Indian Institute of Management Ahmedabad,4th,Electric Vehicle,Collaboration
LD19,Kolkata,University of Calcutta,1st,Business Analytics,Mass-Mailing
LD20,Kolkata,Indian Statistical Institute,3rd,AI,Google Form
LD21,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",1st,Business Analytics,Google Form
LD22,Ahmedabad,Gujarat University,3rd,Electric Vehicle,Google Form
LD23,Goa,Padre Conceicao College of Engineering,1st,Prompt Engineering,WhatsApp
LD24,Agra,Dayalbagh Educational Institute,1st,Business Analytics,Collaboration
LD25,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,AI,WhatsApp
LD26,Amritsar,Guru Nanak Dev University,4th,Data Analytics,College
LD27,Varanasi,Banaras Hindu University,2nd,Electric Vehicle,Instagram
LD28,Delhi,All India Institute of Medical Sciences,2nd,Data Analytics,College
LD29,Varanasi,Ashoka Institute of Technology and Management,4th,Software Engineering,Mass-Mailing
LD30,Ahmedabad,Indian Institute of Technology Gandhinagar,3rd,Data Analytics,Instagram
LD31,Lucknow,King George's Medical University,2nd,Business Analytics,Collaboration
LD32,Shimla,Indian Institute of Advanced Study,2nd,AI,Google Form
LD33,Mysore,Mahajana Education Society,1st,AI,Mass-Mailing
LD34,Delhi,All India Institute of Medical Sciences,2nd,Data Analytics,WhatsApp
LD35,Ahmedabad,Nirma University,3rd,Accounting,LinkedIn
LD36,Varanasi,Central Hindu School,1st,Business Analytics,Google Form
LD37,Jaipur,"St. Xavier's College, Jaipur",2nd,Business Analytics,College
LD38,Delhi,University of Delhi,2nd,Accounting,College
LD39,Shimla,Indira Gandhi Medical College,1st,Electric Vehicle,LinkedIn
LD40,Amritsar,"Khalsa College, Amritsar",4th,Robotics,WhatsApp
LD41,Chennai,University of Madras,2nd,Software Engineering,Instagram
LD42,Rishikesh,Sri Hemkunt Sahib Public School,3rd,Finance,Instagram
LD43,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,3rd,Robotics,Google Form
LD44,Lucknow,Indian Institute of Management Lucknow,2nd,Robotics,Instagram
LD45,Amritsar,Sri Guru Ram Das University of Health Sciences,4th,Data Science,Instagram
LD46,Varanasi,Banaras Hindu University,2nd,Business Analytics,College
LD47,Kolkata,University of Calcutta,4th,Accounting,Mass-Mailing
LD48,Lucknow,Indian Institute of Management Lucknow,4th,Robotics,College
LD49,Amritsar,"Hindu College, Amritsar",1st,Prompt Engineering,College
LD50,Pune,"College of Engineering, Pune",3rd,Electric Vehicle,WhatsApp
LD51,Jaipur,"St. Xavier's College, Jaipur",2nd,Software Engineering,Instagram
LD52,Pune,"College of Engineering, Pune",2nd,Electric Vehicle,Instagram
LD53,Amritsar,BBK DAV College for Women,4th,Robotics,WhatsApp
LD54,Mysore,All India Institute of Speech and Hearing,1st,AI,Google Form
LD55,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",3rd,Data Science,Collaboration
LD56,Pune,University of Pune,4th,Finance,LinkedIn
LD57,Delhi,Jawaharlal Nehru University,4th,Robotics,College
LD58,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",1st,Business Analytics,Google Form
LD59,Srinagar,Amar Singh College,1st,Data Science,Collaboration
LD60,Mysore,Mahajana Education Society,4th,Business Analytics,Collaboration
LD61,Mumbai,University of Mumbai,1st,Finance,Instagram
LD62,Amritsar,Guru Nanak Dev University,2nd,Prompt Engineering,Collaboration
LD63,Udaipur,Pacific University,3rd,AI,LinkedIn
LD64,Bangalore,Indian Institute of Science,1st,Finance,College
LD65,Hyderabad,Indian Institute of Technology Hyderabad,4th,AI,College
LD66,Pune,University of Pune,4th,Data Analytics,Google Form
LD67,Bangalore,Christ University,3rd,Business Analytics,College
LD68,Delhi,University of Delhi,3rd,Finance,Mass-Mailing
LD69,Hyderabad,Indian Institute of Technology Hyderabad,2nd,Accounting,Google Form
LD70,Kolkata,Indian Institute of Technology Kharagpur,3rd,Robotics,Instagram
LD71,Chennai,Madras Christian College,2nd,Robotics,Collaboration
LD72,Varanasi,Banaras Hindu University,1st,Robotics,LinkedIn
LD73,Pune,Indian Institute of Technology Pune,1st,Finance,College
LD74,Kolkata,Jadavpur University,3rd,Prompt Engineering,WhatsApp
LD75,Chennai,Indian Institute of Technology Madras,4th,Prompt Engineering,WhatsApp
LD76,Amritsar,Sri Guru Ram Das University of Health Sciences,1st,Business Analytics,WhatsApp
LD77,Jaipur,Malaviya National Institute of Technology Jaipur,2nd,Finance,Instagram
LD78,Varanasi,Ashoka Institute of Technology and Management,2nd,Business Analytics,Instagram
LD79,Varanasi,Ashoka Institute of Technology and Management,3rd,Prompt Engineering,Instagram
LD80,Agra,Agra College,3rd,Software Engineering,Mass-Mailing
LD81,Amritsar,"Hindu College, Amritsar",3rd,Business Analytics,Instagram
LD82,Lucknow,King George's Medical University,2nd,Business Analytics,Instagram
LD83,Bangalore,RV College of Engineering,2nd,Business Analytics,College
LD84,Rishikesh,Parmarth Niketan,4th,Data Analytics,Instagram
LD85,Bangalore,Indian Institute of Science,3rd,Prompt Engineering,WhatsApp
LD86,Lucknow,Indian Institute of Management Lucknow,2nd,Software Engineering,College
LD87,Varanasi,Sampurnanand Sanskrit University,1st,Accounting,Mass-Mailing
LD88,Kolkata,University of Calcutta,1st,Data Science,College
LD89,Shimla,St. Bede's College,4th,Prompt Engineering,Mass-Mailing
LD90,Lucknow,University of Lucknow,2nd,Business Analytics,Mass-Mailing
LD91,Jaipur,Malaviya National Institute of Technology Jaipur,4th,Software Engineering,Collaboration
LD92,Bangalore,Indian Institute of Management Bangalore,3rd,Business Analytics,Collaboration
LD93,Kolkata,Indian Statistical Institute,3rd,Software Engineering,Google Form
LD94,Chennai,Madras Christian College,1st,Business Analytics,Collaboration
LD95,Shimla,Indira Gandhi Medical College,1st,AI,Mass-Mailing
LD96,Agra,Dr. Bhimrao Ambedkar University,1st,Data Science,Collaboration
LD97,Srinagar,"Government Medical College, Srinagar",1st,Accounting,WhatsApp
LD98,Rishikesh,Dev Sanskriti Vishwavidyalaya,1st,Business Analytics,Collaboration
